"Access route 	Type of data	Period	Total"
"Total	Base data	2015M10	6,432,341"
"Total	Base data	2015M11	3,754,802"
"Total	Base data	2015M12	3,512,914"
"Total	Base data	2016M01	3,526,537"
"Total	Base data	2016M02	3,678,726"
"Total	Base data	2016M03	4,627,206"
"Total	Base data	2016M04	6,086,327"
"Total	Base data	2016M05	7,111,154"
"Total	Base data	2016M06	7,552,758"
"Total	Base data	2016M07	9,545,792"
"Total	Base data	2016M08	10,027,471"
"Total	Base data	2016M09	7,932,607"
"Total	Base data	2016M10	7,137,723"
"Total	Base data	2016M11	4,098,262"
"Total	Base data	2016M12	3,990,446"
"Total	Base data	2017M01	3,905,736"
"Total	Base data	2017M02	4,119,137"
"Total	Base data	2017M03	4,913,943"
"Total	Base data	2017M04	7,081,594"
"Total	Base data	2017M05	8,002,648"
"Total	Base data	2017M06	8,431,975"
"Total	Base data	2017M07	10,493,438"
"Total	Base data	2017M08	10,397,745"
"Total	Base data	2017M09	8,877,270"
"Total	Base data	2017M10	7,269,931"
"Total	Base data	2017M11	4,392,575"
"Total	Base data	2017M12	3,982,530"
"Total	Base data	2018M01	4,106,601"
"Total	Base data	2018M02	4,218,047"
"Total	Base data	2018M03	5,393,186"
"Total	Base data	2018M04	6,780,378"
"Total	Base data	2018M05	8,086,048"
"Total	Base data	2018M06	8,554,306"
"Total	Base data	2018M07	10,020,246"
"Total	Base data	2018M08	10,175,761"
"Total	Base data	2018M09	8,932,308"
"Total	Base data	2018M10	7,649,860"
"Total	Base data	2018M11	4,536,873"
"Total	Base data	2018M12	4,354,798"
"Total	Base data	2019M01	4,195,641"
"Total	Base data	2019M02	4,380,504"
"Total	Base data	2019M03	5,649,577"
"Total	Base data	2019M04	7,146,033"
"Total	Base data	2019M05	7,919,204"
"Total	Base data	2019M06	8,833,893"
"Total	Base data	2019M07	9,873,270"
"Total	Base data	2019M08	10,118,366"
"Total	Base data	2019M09	8,845,152"
"Total	Base data	2019M10	7,587,749"
"Total	Base data	2019M11	4,655,021"
"Total	Base data	2019M12	4,304,741"
"Total	Base data	2020M01	4,133,024"
"Total	Base data	2020M02	4,427,344"
"Total	Base data	2020M03	1,997,262"
"Total	Base data	2020M04	0"
"Total	Base data	2020M05	0"
"Total	Base data	2020M06	204,272"
"Total	Base data	2020M07	2,464,779"
"Total	Base data	2020M08	2,440,978"
"Total	Base data	2020M09	1,138,868"
"Total	Base data	2020M10	1,020,773"
"Total	Base data	2020M11	456,814"
"Total	Base data	2020M12	648,989"
"Total	Base data	2021M01	437,973"
"Total	Base data	2021M02	284,974"
"Total	Base data	2021M03	491,427"
"Total	Base data	2021M04	629,206"
"Total	Base data	2021M05	1,363,164"
"Total	Base data	2021M06	2,216,356"
"Total	Base data	2021M07	4,398,992"
"Total	Base data	2021M08	5,196,520"
"Total	Base data	2021M09	4,703,933"
"Total	Base data	2021M10	5,148,820"
"Total	Base data	2021M11	3,361,913"
"Total	Base data	2021M12	2,947,525"
"Total	Base data	2022M01	2,501,443"
"Total	Base data	2022M02	3,179,288"
"Total	Base data	2022M03	4,039,532"
"Total	Base data	2022M04	6,106,316"
"Total	Base data	2022M05	6,988,353"
"Total	Base data	2022M06	7,498,156"
"Total	Base data	2022M07	9,091,390"
"Total	Base data	2022M08	8,848,665"
"Total	Base data	2022M09	7,767,211"
"Total	Base data	2022M10	7,176,984"
"Total	Base data	2022M11	4,334,651"
"Total	Base data	2022M12	4,127,293"
"Total	Base data	2023M01	4,134,995"
"Total	Base data	2023M02	4,320,665"
"Total	Base data	2023M03	5,247,341"
"Total	Base data	2023M04	7,228,094"
"Total	Base data	2023M05	8,300,384"
"Total	Base data	2023M06	8,307,460"
"Total	Base data	2023M07	10,116,916"
"Total	Base data	2023M08	10,186,163"
"Total	Base data	2023M09	8,795,425"
"Total	Base data	2023M10	8,187,022"
"Total	Base data	2023M11	5,135,498"
"Total	Base data	2023M12	5,209,085"
"Total	Base data	2024M01	4,775,549"
"Total	Base data	2024M02	5,013,497"
"Total	Base data	2024M03	6,350,471"
"Total	Base data	2024M04	7,783,750"
"Total	Base data	2024M05	9,255,985"
"Total	Base data	2024M06	9,299,574"
"Total	Base data	2024M07	10,852,347"
"Total	Base data	2024M08	10,929,584"
"Total	Base data	2024M09	9,602,015"
"Total	Base data	2024M10	8,961,932"
"Total	Base data	2024M11	5,670,219"
"Total	Base data	2024M12	5,264,375"
"Total	Base data	2025M01	5,065,094"
"Total	Base data	2025M02	5,397,279"
"Total	Base data	2025M03	6,593,604"
"Total	Base data	2025M04	8,568,142"
"Total	Base data	2025M05	9,395,612"
"Total	Base data	2025M06	9,476,248"
"Total	Base data	2025M07	11,023,252"
"Total	Base data	2025M08	11,251,632"
